"UCTAt1.2_S4_trimmed53_len_filtered_counts","UCTBt1.2_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2A.t14_S1_trimmed53_len_filtered_counts","U2OS.CAS9TREX2B.t14_S2_trimmed53_len_filtered_counts","u2os_trex2a_t21_S4_trimmed53_len_filtered_counts","u2os_trex2b_t21_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2A.t28_S5_trimmed53_len_filtered_counts","U2OS.CAS9TREX2B.t28_S6_trimmed53_len_filtered_counts"
1,169,25,15,88,212,6,38
143,2017,101,8,2238,99,175,1
3,3,7,9,1,2,12,9
1583,1,2,1,309,2,9,7
6,999,63,34,492,158,40,3
1,5,8,46,263,75,94,4
6,3,111,8,341,1,13,7
71,31,3,13,24,66,3,10
294,3,11,48,4,1145,9,3
2,913,48,103,185,1667,14,447
112,1,15,8,16,1,12,1
35,404,5,18,45,9,7,2
11,1,111,84,483,259,39,5
1355,489,9,116,115,102,4,2
2,2,7,8,1,14,5,5
919,2,24,9,123,3,3,7
5114,400,58,25,589,76,55,5
9,1105,27,164,329,1927,19,239
825,358,64,144,445,1483,26,157
3,638,5,30,51,168,3,3
48,6,94,42,144,29,17,41
2,1,16,5,119,1,13,4
2035,1,2,11,129,1,10,6
3,547,84,54,752,62,63,8
51,281,9,111,1,915,5,43
3,5,50,33,77,8,2,3
74,531,51,48,471,255,88,9
1,635,89,103,412,586,18,3
508,1082,156,91,1390,881,49,67
2722,22,121,20,348,39,9,4
1,2,3,62,47,709,13,70
1,5,59,69,363,62,36,3
3,908,26,8,43,1,6,2
1,2,2,6,6,2,4,6
1,124,468,98,7429,132,592,12
716,880,54,102,193,475,50,39
3,805,8,18,7,1,8,6
551,535,58,72,514,248,15,1
466,1,10,3,66,1,2,1
5600,4,76,15,43,98,18,30
2,1,66,13,215,5,9,4
222,541,47,113,790,335,16,49
1,2,8,1,2,1,1,1
1,424,4,5,3,1,5,3
1,19,6,11,195,3,5,2
4455,59,49,118,314,918,27,1
3,2,5,3,1,2,7,7
311,2,3,63,134,1368,5,90
246,6,31,7,89,5,18,2
199,391,18,27,20,85,7,2
1,4,51,33,364,544,40,158
8,1022,79,23,272,187,20,7
7,11,48,50,27,449,13,42
1166,453,139,40,1083,2856,118,535
118,650,106,10,1716,2,101,4
159,2,118,13,583,2,26,1
201,347,91,125,1456,856,144,87
2,502,4,8,123,3,1,3
7121,295,65,10,113,2,43,3
1,50,14,2,10,1,6,4
13,1,51,2,336,1,19,1
775,3,51,12,447,34,19,4
50,398,22,174,483,2809,29,689
1028,932,75,80,385,281,68,47
94,1385,232,59,3133,272,160,10
42,97,140,39,860,222,90,6
2,427,33,60,1398,1144,140,86
1404,462,137,52,1997,257,107,4
8501,261,92,54,995,839,89,9
2,5,3,7,1,1,11,4
10,176,6,2,3,2,1,1
187,257,94,36,194,235,17,3
1960,397,73,9,410,11,10,1
4731,19,152,53,1182,9,53,8
1,4,30,42,44,179,7,6
1360,1989,167,38,5222,254,617,10
45,525,29,33,146,97,15,1
136,3,5,10,1,1,7,1
390,3,31,27,33,77,12,1
2281,294,96,13,324,7,40,3
1185,52,6,20,56,2,18,5
1,303,62,61,958,1005,17,523
1101,61,253,61,1486,924,47,46
91,6,1,6,2,4,6,2
26,1081,133,24,3416,8,243,18
18,6,22,66,141,469,12,49
406,443,160,55,994,53,80,3
1,697,26,28,1,318,2,1
81,1233,83,28,1270,76,85,5
8,825,18,71,73,66,13,6
277,572,35,35,2182,50,283,7
136,665,39,9,579,4,44,2
577,3,32,105,1235,1225,69,76
76,1016,49,137,574,1016,23,61
388,1654,57,10,254,68,28,20
205,858,31,139,2188,830,115,173
193,3,75,72,48,551,9,106
498,873,70,130,516,1333,20,104
2,2,7,46,44,105,12,7
201,153,17,10,13,24,6,1
199,433,26,23,186,276,8,49
25,2,54,12,486,42,21,7
4,205,37,75,307,427,50,94
4,228,44,81,837,578,43,2
121,1247,43,30,292,684,42,120
1258,1563,36,64,39,147,27,7
798,355,31,52,89,365,6,1
3,126,11,23,5,267,19,4
1741,2,78,12,1586,5,249,6
28,488,26,18,5,2,37,14
14,2,27,162,342,1074,31,47
1,630,17,10,128,4,33,2
61,7,80,62,1249,230,59,5
4986,302,32,252,669,2462,35,113
2,6,26,12,177,3,6,4
3,3,8,6,4,2,38,6
306,7,41,25,469,75,40,5
1418,1267,28,15,147,1,16,4
945,871,48,80,761,1043,70,6
5948,1409,507,317,20464,7878,4297,1190
13,1894,81,39,2717,34,293,10
1,1,13,4,40,2,7,2
520,305,65,45,311,6,21,2
2,3,29,28,430,2,59,6
494,5,160,9,2870,98,232,6
1329,562,154,16,2559,4,114,8
1829,1227,82,65,966,393,111,37
3,1,67,6,1221,3,58,1
5,168,9,12,3,379,9,52
2235,1891,145,135,1170,2650,53,489
552,1229,70,49,826,169,118,66
3400,1033,169,30,2068,241,147,14
2,485,33,163,354,2397,19,315
623,249,97,161,519,3060,61,686
1,4,5,12,3,3,10,1
75,202,36,84,667,1222,70,206
895,171,111,78,1286,583,31,28
10,579,48,92,2,1692,25,214
4,2781,132,59,4330,190,345,6
2322,1045,60,56,424,367,31,31
2,87,40,34,343,362,50,2
783,436,107,57,1040,799,89,117
4,1239,336,106,14582,2155,1080,417
717,769,83,39,571,241,31,13
6384,826,335,98,3765,367,135,55
175,268,172,166,2962,1798,240,280
1320,1338,26,68,322,483,16,1
21,3,10,5,1,4,6,1
3797,196,22,3,769,1,68,1
6,248,62,33,1027,196,74,3
666,933,32,65,354,848,11,156
3,1471,180,44,2527,147,219,1
154,112,20,88,88,357,18,19
11,1,76,44,374,534,32,7
394,3,31,5,219,1,24,4
195,727,19,33,271,70,7,4
74,970,55,217,333,2772,23,447
912,31,24,2,453,1,24,4
25,3,4,13,1,177,5,1
184,973,16,146,37,2128,37,220
1148,7,231,219,1806,2713,162,371
123,2,15,16,7,92,26,6
1640,1971,84,171,270,2564,44,265
11478,1020,55,147,393,915,31,17
477,2345,70,51,1889,198,207,6
452,529,281,442,12874,11797,1444,3519
977,1572,319,59,3202,518,178,89
1,4,32,7,271,3,22,3
6,1994,78,112,260,747,22,105
5840,1818,85,39,639,241,27,7
239,1056,71,290,781,3298,27,96
12,4,2,3,1,1,15,1
354,279,6,2,3,2,10,5
300,54,4,154,4,2144,13,206
2000,4,18,8,202,3,24,1
1,3,1,12,1,92,7,2
3,382,20,41,544,246,54,46
2,1000,76,15,411,22,24,2
650,2,83,4,635,1,19,3
1,1,5,2,1,1,1,1
29,1,1,2,1,1,1,1
1,3,5,23,1,554,4,29
2,6,80,8,3215,3,156,2
155,2016,2,4,1,1,4,1
1,1,42,38,314,118,22,3
444,3,1,2,81,1,2,2
1,1,1,4,1,1,6,3
18,3,71,53,2224,166,133,4
1,1,4,2,1,1,3,2
1,2,2,44,1,240,2,4
330,1092,59,53,873,128,84,2
203,228,53,196,224,1409,56,137
1,2,60,3,892,3,73,9
668,23,8,3,196,2,11,5
249,410,7,16,5,27,22,3
25,1,10,1,199,1,6,1
359,845,2,61,1,199,3,1
117,944,46,36,1298,166,48,2
1,679,20,89,144,435,15,5
1,4,25,6,308,3,18,1
847,1,1,12,1,53,2,1
14,1,50,6,208,86,13,3
1,3,3,4,1,117,3,1
7,3,5,7,87,99,9,2
1355,2,42,25,1,227,13,3
1,333,115,3,275,1,20,1
3,1,2,2,1,3,12,4
1,2,43,4,20,1,4,5
28,7,13,67,1,746,16,102
2,1287,37,57,718,766,7,146
2,1880,7,4,1,1,6,1
1,1,36,19,227,4,16,8
2045,1,4,3,1,1,7,1
654,4,14,38,819,377,98,38
2,1,16,2,171,1,11,2
1,26,2,3,2,1,18,2
164,431,20,56,30,27,6,1
33,10,7,21,1,77,10,1
1,411,3,9,414,1,24,1
2,56,5,4,1,3,3,2
2,1,37,3,467,2,46,4
1,652,73,12,364,4,15,4
110,3,4,1,1,3,6,2
1,3,1,2,55,3,6,1
150,1,5,3,2,3,10,3
4,827,22,10,8,2,6,1
1,304,9,22,15,85,12,6
2,1,24,68,368,720,48,117
4,1,1,18,1,255,11,2
2,3,14,7,4,1,11,15
978,7,138,133,1462,1847,197,207
428,6,24,4,1162,1,54,3
773,989,24,3,391,1,4,2
1,109,7,73,3,363,6,2
371,2,63,41,573,130,29,5
2588,1975,19,25,609,631,20,8
927,350,109,106,447,524,18,3
39,1658,74,58,1861,385,160,41
5,1,6,6,1,1,7,2
1124,4,33,31,133,37,20,3
1163,565,226,52,1314,324,98,1
1,82,76,12,214,1,12,1
3,3,94,6,437,3,61,10
441,1,4,16,2,207,3,2
76,1115,34,80,7,406,19,20
1265,204,61,12,1234,1,230,5
291,921,146,21,2835,2,299,6
1,3,33,4,133,2,5,1
1,132,31,45,111,887,9,50
2,2,248,2,2777,1,130,2
168,226,141,19,1079,489,96,4
1,7,247,3,3613,1,362,6
3,487,184,19,3774,2,175,2
694,1,77,190,347,2461,13,340
4,2,19,7,132,2,43,7
321,148,69,92,652,694,87,184
1,2,11,64,61,748,13,188
1,1263,4,44,2,580,5,48
2,292,122,5,1644,1,67,3
1,2,2,5,2,2,5,2
2,372,6,89,5,879,10,75
28,203,6,5,44,3,9,5
82,2,2,3,1,3,19,1
1720,344,27,6,281,34,8,2
1,1001,53,24,583,1,6,4
874,2,2,21,2,1,7,3
1608,2,23,1,190,4,1,1
44,3,4,5,83,2,9,5
1,3,72,11,701,103,121,1
1,1,52,15,178,1,11,1
5,4,6,6,60,1,18,2
11,1,133,42,1695,1023,101,230
520,699,37,108,706,489,64,39
2547,620,32,94,160,903,8,245
2,1,218,10,3301,21,184,6
2202,532,114,11,2374,121,226,6
2130,1,40,18,374,117,11,1
1,2,3,85,1,1441,9,164
3,606,12,12,442,1,35,2
1,1,31,40,66,142,11,1
1,3,90,207,1301,4021,108,730
1,2,1,2,2,1,5,1
17,206,95,30,896,96,69,10
217,463,79,89,457,375,35,38
2719,9,72,131,1200,861,166,191
651,1407,254,340,5885,7134,445,873
1421,58,71,26,1793,160,80,29
3,3,112,17,610,33,14,3
39,1453,22,60,75,499,23,81
1183,1981,91,50,1780,710,108,101
45,1184,52,74,419,980,30,90
2205,2226,52,230,645,2756,26,243
904,1325,94,26,209,9,44,6
605,2475,108,119,540,716,76,235
263,697,121,100,1592,936,190,158
9,6,2,1,113,57,10,4
7984,696,72,57,775,536,75,27
2,189,15,16,9,8,16,7
1,336,12,22,7,492,6,35
2796,5,361,10,3412,4,204,6
9243,12,179,17,1746,8,121,6
279,1,114,11,546,27,46,2
185,1194,67,65,373,415,56,44
111,268,8,16,2,25,15,10
81,1732,69,89,279,821,21,35
181,5,57,119,351,1479,65,44
612,1736,129,54,2531,110,99,5
3,96,22,23,274,12,23,7
97,657,5,6,3,1,9,4
2,3,27,20,30,67,8,5
321,2,43,56,114,502,7,84
7671,493,156,35,4284,5,666,12
894,799,60,3,407,33,39,2
325,1747,23,13,461,2,24,5
683,281,195,36,2506,96,202,8
2541,676,238,244,3359,3096,196,242
6,526,86,56,471,317,70,17
409,1600,14,49,89,470,28,9
5,974,52,13,536,7,39,1
3363,2387,96,332,918,3536,101,419
2803,1335,174,60,1286,367,45,6
415,27,61,48,217,154,11,34
5734,2080,153,94,543,756,46,36
975,621,92,46,424,237,25,9
305,691,121,8,1012,5,49,3
4,522,24,115,268,709,12,3
52,608,69,67,721,962,33,33
4,8,26,28,424,97,96,5
530,98,147,128,550,1468,38,160
13,10,10,17,4,77,7,1
1063,686,92,43,713,691,33,79
5,111,9,17,77,3,19,9
839,852,326,180,6113,2394,342,173
3625,720,268,230,4651,1596,257,198
119,369,34,155,106,1579,24,157
549,3,5,3,3,1,9,1
5,2,56,7,529,15,49,1
635,95,7,21,32,41,22,7
692,1011,59,165,194,2233,43,118
527,883,31,82,1118,722,61,88
855,3155,30,20,447,201,70,4
186,2,12,6,51,2,5,2
64,1425,10,100,193,431,18,12
1772,131,117,30,2953,126,347,11
182,270,11,25,797,327,18,23
1702,747,243,135,3843,1029,179,82
29,530,227,64,2033,808,149,24
2601,1099,194,82,2996,394,283,8
92,145,229,56,4063,551,119,30
157,1352,64,40,437,88,14,2
534,1988,59,81,1183,199,62,3
1,84,41,125,66,529,12,4
3,4,26,47,103,323,8,35
1650,2366,110,20,213,43,27,4
6,308,41,40,919,209,94,19
49,1765,33,106,3,3080,20,550
1183,2291,156,63,1861,199,129,6
1989,1260,83,162,1039,3824,92,523
137,21,184,136,3557,775,476,31
1524,1723,84,195,1088,1218,74,71
317,1539,61,28,379,131,44,9
13,1407,107,56,750,245,13,3
222,7,30,33,724,245,54,5
1886,3566,68,145,142,2396,17,508
883,1113,27,137,1621,1739,231,119
929,8,55,136,1007,1385,61,92
973,4,38,8,242,246,10,4
6,1,20,21,81,36,19,4
233,2549,210,53,3439,133,274,27
836,579,118,43,818,123,42,69
1034,1111,229,51,1870,917,89,193
432,748,25,10,4,104,7,2
1425,1557,232,154,1571,718,58,54
215,616,21,34,50,51,21,8
415,1221,49,10,262,8,12,1
4,454,122,34,1951,20,254,34
35,583,10,335,1,3584,9,249
34,2,57,5,234,2,27,2
49,2,31,51,668,298,31,2
818,1032,116,358,614,3845,43,131
331,1749,61,32,435,332,17,2
4,437,6,15,5,11,8,26
1966,1349,217,194,1711,1913,88,56
1566,1057,60,10,109,34,15,1
2,4,59,6,632,5,76,2
56,2,66,22,507,156,60,19
620,1563,72,144,195,786,39,40
1,762,48,8,459,1,8,2
397,1428,608,319,21155,4663,3123,462
1,1831,24,60,502,407,44,25
30,813,9,104,92,278,15,2
747,11,229,81,3975,772,381,431
621,542,36,15,2,1,8,7
1,817,39,21,635,101,39,1
476,4,262,79,9218,276,1619,59
112,286,58,253,354,5700,26,772
77,353,199,34,1438,20,31,4
557,424,67,95,853,2097,37,224
1,1003,3,14,2,320,6,125
100,433,5,9,315,1,15,1
83,719,141,92,3150,675,189,132
172,2,2,20,50,115,5,38
8,1530,44,12,424,59,26,6
431,412,125,17,396,224,28,50
42,360,188,246,1760,3438,148,319
652,180,29,57,100,163,22,33
2,840,28,13,117,70,7,2
4,3,4,3,3,1,3,3
420,900,87,1,1153,1,30,1
1,4,2,19,43,471,4,57
972,1048,357,89,9548,73,614,10
191,5,42,21,200,2,84,4
4,4,27,30,279,388,15,6
2988,669,372,66,3634,2083,256,235
10,536,123,54,2476,980,111,178
2,280,97,39,3173,5,256,11
33,331,80,12,1253,185,277,6
690,14,21,10,615,20,23,4
83,221,21,34,82,298,15,43
667,6,69,39,105,162,13,8
496,93,20,52,488,283,16,3
27,1,18,6,2,1,9,2
923,406,113,37,858,926,21,82
9,228,149,22,2552,158,147,5
1,397,89,15,1051,12,67,13
22,838,131,9,579,17,17,5
663,401,41,35,496,351,68,6
2,1,4,6,5,1,10,2
998,4,44,85,523,602,29,8
1916,26,123,80,2300,1766,120,228
417,170,51,31,313,125,26,5
3,87,1,45,1,1052,9,135
16,9,51,4,392,2,39,1
13,4,78,9,868,7,43,4
4312,238,171,37,2068,15,112,10
152,386,12,94,198,1510,20,46
1302,1491,11,20,140,25,4,16
1272,1064,27,141,370,1262,17,107
744,6,61,21,856,23,63,25
2,627,23,81,543,512,49,63
692,694,43,84,37,409,22,136
2,5,10,127,180,3429,16,353
4,1092,96,88,538,1705,39,487
59,206,45,9,383,54,17,47
315,2,15,8,86,1,9,3
358,5,31,28,228,144,39,53
4743,1,76,15,1305,64,55,11
717,5,18,11,49,1,11,2
3,2,22,47,230,548,18,37
5,1,111,8,355,2,9,7
1,837,15,258,3,6193,28,690
1,160,14,15,80,93,20,6
1228,254,66,51,1037,826,46,37
684,2579,91,76,1679,514,200,10
41,447,9,14,96,81,13,49
623,56,3,75,1,378,13,15
3,752,5,160,189,4121,7,423
3,1459,52,34,388,86,23,8
47,746,53,17,1343,5,102,8
2559,677,20,14,172,540,21,156
3448,316,4,4,147,1,14,3
227,2,103,6,142,5,8,5
35,59,8,9,1,25,7,1
4990,649,65,117,857,906,71,117
210,326,42,45,422,564,62,65
1,155,25,30,582,324,30,5
79,282,53,75,219,1144,50,56
619,1043,89,58,97,626,16,54
444,9,9,41,192,263,12,8
3,444,76,23,452,58,20,3
300,615,17,117,224,732,7,62
781,363,34,38,1,297,17,28
8,2,32,7,55,2,18,5
1288,377,358,21,4246,515,361,103
8,1,48,9,258,5,38,7
81,1583,252,50,4512,74,295,11
56,440,6,145,348,2847,10,462
4,1,85,56,1520,221,101,67
295,953,64,77,1748,445,117,31
2,3,6,19,5,1,17,5
1,3,16,181,3,2862,20,707
5,252,102,80,2487,481,147,31
792,226,34,34,168,568,19,149
1,2072,7,34,7,67,12,24
1332,10,44,7,354,2,6,6
3,275,17,8,11,1,18,11
1,44,25,6,1,1,3,3
1,5,4,63,236,318,17,39
1795,7,10,8,400,87,6,1
2,767,43,67,1448,1268,68,110
1061,347,143,74,2093,762,230,26
1568,1834,209,53,4367,102,238,8
256,911,26,20,79,341,11,7
59,2,3,108,132,2149,18,245
420,551,4,108,155,1021,14,43
3,174,52,148,824,999,69,112
3,1,15,95,1,2193,10,249
80,954,35,30,147,147,10,7
3,239,4,6,1,6,9,3
397,82,61,98,365,521,48,4
40,888,4,2,1,4,17,4
2,4,9,36,1,253,22,11
74,934,227,17,7109,55,266,54
360,1790,13,17,3,46,3,37
1107,1176,47,41,3934,40,810,7
134,6,70,148,1081,430,55,7
1617,3,66,48,554,286,31,46
1,3,187,39,5932,314,585,41
13,376,114,28,1532,196,88,7
1,207,12,12,4,13,33,8
1,1,2,28,1,119,8,17
566,796,70,36,1233,233,113,41
528,172,63,42,629,516,78,118
133,1,31,10,198,47,16,3
1,4,6,11,434,85,9,3
2,1,11,77,120,815,20,224
376,361,163,16,3795,3,592,7
475,887,58,6,683,1,48,12
1,1348,219,160,3101,1082,283,78
1,248,81,5,722,2,61,10
73,411,37,171,228,919,26,65
260,1,147,4,2202,2,166,4
809,546,35,24,331,25,42,3
19,7,90,40,4581,212,728,74
91,1,6,28,4,279,17,3
29,1395,39,11,1651,1,93,3
904,282,40,26,68,1,9,12
14,115,1,1,1,2,2,1
8,2,5,7,209,5,9,5
1,1,4,2,1,5,12,5
365,90,120,13,1665,7,121,4
38,4,4,5,41,3,12,5
19,3,8,10,170,3,17,4
122,387,21,90,101,475,15,11
54,310,97,55,988,658,70,151
1,2,10,23,84,114,20,3
386,1751,334,38,9291,103,1103,24
1,362,8,7,273,2,11,4
17,372,14,34,164,235,24,24
1129,238,86,125,890,2326,45,217
15,1,6,6,2,69,16,3
619,286,18,67,205,988,41,4
1,2,10,57,4,2030,18,286
2,647,54,8,1378,2,91,4
1,541,109,16,775,245,52,7
138,595,147,46,2619,450,234,63
548,2,105,37,501,166,78,7
94,5,8,11,230,1,51,8
372,5,70,100,708,763,30,79
1054,711,27,100,130,1364,46,90
7,509,95,135,1042,657,45,130
121,6,185,21,3255,474,338,80
1,1,17,7,3,5,37,1
148,866,24,28,7,27,50,7
1859,3,151,121,1425,1260,107,55
222,4,7,8,238,57,15,5
38,35,5,18,2,142,21,5
6360,6,12,62,58,435,27,6
5030,161,138,75,1560,842,119,90
218,1437,18,8,3,1,25,3
239,267,43,21,58,306,18,33
5,4,92,28,659,290,25,9
62,478,8,1,88,1,22,2
1917,163,47,16,547,192,76,11
5613,103,323,174,10364,530,1283,105
2,176,134,301,1678,11350,171,1778
464,1288,5,2,4,1,19,4
1,2175,32,8,372,96,5,1
297,930,92,7,609,26,95,8
4,5,15,13,49,2,31,6
2,3,3,1,109,4,17,1
7,1363,20,26,334,223,19,26
243,2,42,39,150,106,16,4
144,1,1,10,2,5,13,8
661,1786,97,118,764,1262,51,118
3,2,28,20,60,170,9,5
892,1,93,6,1402,1,49,7
1,1,35,22,651,148,48,7
1,1,26,112,4,1040,19,31
672,868,8,13,6,17,21,6
1894,3,102,170,437,4735,48,1036
391,6,94,24,732,239,48,48
7,696,56,36,262,169,20,6
453,4,8,5,6,5,19,3
1,477,1,3,10,1,25,3
9621,329,40,36,142,142,36,5
1701,767,25,20,611,18,41,1
1,17,35,11,163,74,31,4
3856,1125,23,49,642,1972,36,78
1,1180,19,10,285,7,54,4
38,843,45,14,462,5,223,11
2,37,9,30,3,152,27,7
268,285,44,86,491,524,17,109
22,551,87,9,797,86,52,9
912,8,44,5,233,5,27,4
2,402,34,24,839,478,103,5
2,6,58,10,595,52,42,11
1696,2164,85,170,1559,3588,95,275
247,6,38,25,92,558,34,29
252,2,23,48,120,321,30,26
2,248,4,13,87,23,10,6
159,1281,55,108,313,1788,27,506
29,286,87,5,462,94,27,2
5,237,134,49,302,657,76,49
497,386,302,8,8469,3,824,15
4,1,4,5,1,1,16,1
15,52,77,24,328,9,420,29
145,48,80,32,490,170,43,37
1,584,83,16,299,33,37,4
3,175,13,11,134,2,15,1
1,131,59,22,289,70,9,1
5,1195,3,58,54,127,3,2
23,15,38,3,342,2,23,5
1,2,2,107,1,2025,9,332
785,261,169,19,2250,85,251,42
3,3,3,15,207,19,13,1
373,757,133,56,976,101,46,58
4,839,11,26,112,98,19,59
1,866,97,6,280,1,4,1
42,422,35,10,19,64,5,3
99,1,3,34,1,278,1,13
3,169,10,9,1,1,8,2
189,1866,47,58,185,489,35,16
43,3,18,16,5,292,13,29
57,143,62,92,673,638,35,21
1,498,37,9,168,38,9,1
55,888,2,5,2,1,2,1
206,4,144,54,2497,191,217,3
1,26,68,27,274,219,10,5
1,2,13,42,1,789,4,109
2,199,8,203,5,4814,17,1201
45,4,12,49,61,75,10,6
5,1,95,33,1242,119,34,3
237,382,3,50,273,271,13,102
1034,2,2,6,108,4,18,1
1078,1833,174,51,5093,917,807,253
1,2,4,44,1,914,10,152
304,2,6,24,1,65,9,5
